id,first_name,last_name,email,gender,ip_address
25.96,53.4411,38.6,64.4,71,27.45426
4.665,68.8662,76.2,95.6,2,31.17476
13.566,73.7464,10.4,66.0,4,93.30935
59.358,69.6625,15.8,71.3,13,97.72937
89.447,67.2066,4.5,9.7,78,44.2159
25.707,31.2352,53.9,97.4,72,8.14742
87.879,54.6238,51.8,31.4,40,12.04136
56.374,21.0112,53.3,10.6,48,31.52681
79.445,22.4299,98.7,80.2,51,49.65852
44.825,70.4055,79.3,22.6,51,48.95188
50.146,29.6313,40.2,92.9,21,80.39331
15.463,96.2745,33.9,98.8,4,83.11945
90.155,92.2227,4.0,71.2,97,68.17329
4.887,95.5083,36.6,91.5,32,12.58684
41.96,12.2598,65.8,58.4,46,77.67836
27.516,63.4785,40.1,42.8,31,12.50428
59.389,64.5602,16.3,17.0,58,28.28686
7.161,35.5161,32.1,17.6,83,81.09331
59.221,82.0478,75.9,75.6,23,13.38327
84.449,77.6869,87.7,7.2,50,87.45778
81.118,55.5227,4.1,6.9,26,2.7237
83.73,10.7158,17.2,48.1,65,41.83511
18.563,47.4081,9.9,52.2,100,60.8488
36.608,62.0315,58.9,24.1,33,32.40445
77.291,10.3642,54.7,15.3,13,47.69817
68.669,90.186,41.8,97.7,65,95.33377
27.345,4.3391,16.3,20.7,27,1.43457
26.454,68.0259,61.6,23.1,92,95.94787
40.579,67.5328,50.4,70.2,11,33.25579
73.868,83.4608,51.6,64.5,83,48.48138
27.425,82.3865,20.8,50.6,18,83.76282
81.714,95.0635,7.8,48.0,48,73.03788
92.425,29.1298,26.3,11.5,14,35.97841
53.165,72.6065,87.5,37.3,36,8.95676
49.027,10.4988,6.8,42.6,95,75.37917
55.931,66.7853,48.5,68.4,33,85.65621
51.181,14.8505,3.0,91.9,19,45.96708
1.464,49.1997,20.6,24.5,2,69.40793
50.389,19.595,88.3,90.4,16,94.1318
75.324,22.783,8.3,34.1,92,79.85244
25.665,2.6103,49.0,4.6,33,29.46879
16.826,78.2385,6.8,1.2,60,21.4397
53.252,3.9696,27.7,97.4,80,96.88571
35.379,1.5144,53.7,14.7,67,25.76056
87.975,40.6262,86.1,3.0,53,53.38512
4.371,27.7457,53.8,33.6,27,40.70993
70.572,23.7915,87.3,13.8,80,35.85573
28.867,76.8974,41.6,41.9,88,90.59913
38.2,49.4772,50.4,82.0,45,79.84207
33.226,38.3496,66.2,46.6,74,63.18795
70.298,19.5641,61.3,46.6,51,81.75961
35.219,45.5684,75.1,17.1,50,8.01273
88.704,86.6582,10.1,56.2,47,75.84245
52.199,68.9995,64.7,32.1,74,25.7017
39.463,44.874,67.4,61.3,84,69.27361
36.898,98.9194,68.8,88.3,88,90.31425
62.729,63.594,97.7,45.9,92,86.1682
9.199,47.251,58.3,57.2,10,50.82318
4.754,21.9222,14.6,1.8,11,56.81695
88.38,14.5648,11.3,60.2,34,52.67645
78.853,65.6222,14.1,5.2,18,68.92692
94.067,24.6095,22.0,94.7,25,71.6561
42.22,59.3136,9.7,62.2,70,67.69357
1.376,30.9538,2.4,75.1,12,5.31672
18.225,47.9208,95.1,36.5,52,58.91352
69.634,22.3534,86.6,40.8,33,50.6353
52.292,8.0719,15.9,46.4,12,21.80998
53.302,61.3064,44.7,84.3,75,9.01338
77.745,26.4147,20.9,72.3,95,31.46915
55.347,53.9902,76.8,15.7,95,37.00196
79.312,9.1401,18.3,89.4,65,12.17185
70.87,16.7415,96.2,64.9,26,57.18272
35.892,71.1115,99.5,92.4,29,77.44633
25.508,81.7335,62.6,46.7,23,83.2318
20.974,11.7507,20.3,95.8,37,28.77094
34.072,9.9319,41.1,33.5,31,96.04593
33.497,5.3563,8.5,54.3,67,53.41931
34.844,63.4241,91.4,26.9,100,95.71963
36.929,68.8194,43.3,65.9,33,79.88286
81.648,73.7571,28.2,15.9,98,96.61157
42.71,93.0127,38.6,64.9,8,75.09314
25.797,83.0043,44.8,92.4,82,14.74829
46.375,21.2042,96.5,44.7,29,52.02387
96.253,68.2157,6.8,46.3,46,88.17144
44.63,43.8148,15.1,60.4,32,22.70835
4.052,49.4731,52.0,82.4,18,4.47515
54.91,72.038,79.2,85.3,47,15.3438
22.628,63.5975,38.9,25.0,72,8.96389
96.077,47.5882,30.5,65.3,23,81.42214
78.016,23.0561,77.2,16.0,19,94.27162
69.763,45.1912,43.4,42.5,16,14.66438
78.294,94.5575,74.5,52.6,62,40.59517
2.94,81.1155,60.0,41.9,15,23.21239
57.675,6.4502,8.6,65.7,53,67.71727
75.249,99.4027,16.8,11.3,90,96.95374
10.801,34.4692,74.3,91.3,83,72.32785
88.094,77.118,92.4,72.7,10,28.31906
11.735,6.58,33.2,48.2,11,70.43799
27.718,27.2037,4.0,43.3,79,69.30721
44.859,22.8282,10.4,4.4,23,3.46354
1.564,56.9501,54.3,89.0,86,60.90506
42.93,77.0969,41.3,69.0,46,76.14091
34.065,22.1647,97.0,32.8,1,55.88459
8.011,54.9771,21.7,58.0,58,77.24893
29.135,84.6908,40.8,93.1,98,11.75257
77.364,5.571,69.9,82.3,13,1.85464
7.343,27.3805,83.5,70.1,69,42.15415
53.737,11.7985,89.6,11.4,19,43.94862
96.695,87.2211,67.8,45.4,85,95.74475
78.466,51.1712,50.0,93.7,43,29.33959
2.449,27.8791,9.0,52.4,90,37.46779
71.676,26.345,74.7,94.6,32,87.53474
84.712,73.8545,21.2,94.9,41,87.88765
32.39,8.3306,41.3,24.1,86,28.48347
26.229,16.2591,10.8,25.5,54,31.58118
4.701,75.5701,56.1,19.0,90,41.10038
58.455,78.3806,57.0,28.7,42,93.69959
92.176,54.0615,16.1,66.7,86,86.14119
27.301,35.9244,72.7,28.8,36,66.37449
89.324,55.6011,81.2,36.9,2,6.74019
11.57,55.6704,71.5,65.8,81,1.06924
76.456,4.7119,51.5,41.3,40,67.74049
66.146,92.4571,8.8,39.5,77,86.70664
48.692,62.5387,74.8,46.5,68,31.47295
6.612,65.7329,49.1,88.1,30,75.69028
84.49,99.8203,17.1,13.4,15,59.51042
42.208,83.912,60.2,32.5,4,80.58138
11.845,17.6108,89.4,41.9,61,10.83441
9.718,75.3891,7.3,4.3,67,8.12143
92.24,51.4802,38.5,63.7,68,44.10644
51.418,33.0851,7.0,17.3,9,68.98591
35.992,77.7091,74.3,67.5,58,87.56314
47.698,98.7847,16.1,39.7,54,56.79481
36.121,80.8485,98.8,46.2,91,63.77434
5.731,65.7684,65.0,3.5,3,90.25215
15.115,63.2982,74.9,30.1,79,63.93887
18.746,77.5782,7.6,60.0,87,79.77103
20.771,99.1757,65.7,8.2,17,22.76149
